,doc_id,speciality
180,18928,Anesthesiology
181,18939,Anesthesiology
182,18944,Anesthesiology
183,18959,Anesthesiology
184,18961,Anesthesiology
185,18962,Anesthesiology
186,18964,Anesthesiology
187,18975,Anesthesiology
188,19032,Anesthesiology
189,19034,Anesthesiology
190,19049,Anesthesiology
191,19087,Anesthesiology
192,19120,Anesthesiology
193,19139,Anesthesiology
194,19142,Anesthesiology
195,19179,Anesthesiology
196,19189,Anesthesiology
197,19206,Anesthesiology
198,19213,Anesthesiology
199,19243,Anesthesiology
200,19246,Anesthesiology
201,19278,Anesthesiology
202,19279,Anesthesiology
203,19281,Anesthesiology
204,19280,Anesthesiology
205,19282,Anesthesiology
206,19283,Anesthesiology
207,19284,Anesthesiology
208,19285,Anesthesiology
209,19286,Anesthesiology
210,19287,Anesthesiology
211,19288,Anesthesiology
212,19289,Anesthesiology
213,19290,Anesthesiology
214,19291,Anesthesiology
215,19292,Anesthesiology
216,19295,Anesthesiology
217,19296,Anesthesiology
218,19301,Anesthesiology
219,19312,Anesthesiology
220,19313,Anesthesiology
221,19324,Anesthesiology
222,19326,Anesthesiology
223,19328,Anesthesiology
224,19330,Anesthesiology
225,19329,Anesthesiology
226,19331,Anesthesiology
227,19333,Anesthesiology
228,19334,Anesthesiology
229,19336,Anesthesiology
230,19338,Anesthesiology
231,19337,Anesthesiology
232,19340,Anesthesiology
233,19339,Anesthesiology
234,19341,Anesthesiology
235,19342,Anesthesiology
236,19343,Anesthesiology
237,19344,Anesthesiology
238,19345,Anesthesiology
239,19346,Anesthesiology
240,19348,Anesthesiology
241,19347,Anesthesiology
242,19349,Anesthesiology
243,19350,Anesthesiology
244,19351,Anesthesiology
245,19352,Anesthesiology
246,19353,Anesthesiology
247,19355,Anesthesiology
248,19354,Anesthesiology
249,19356,Anesthesiology
250,19357,Anesthesiology
251,19359,Anesthesiology
252,19361,Anesthesiology
253,19360,Anesthesiology
254,19362,Anesthesiology
255,19363,Anesthesiology
256,19364,Anesthesiology
257,19365,Anesthesiology
258,19366,Anesthesiology
259,19368,Anesthesiology
260,19369,Anesthesiology
261,19367,Anesthesiology
262,19370,Anesthesiology
263,19372,Anesthesiology
264,19371,Anesthesiology
265,19373,Anesthesiology
266,19374,Anesthesiology
267,19375,Anesthesiology
268,19377,Anesthesiology
269,19376,Anesthesiology
270,19378,Anesthesiology
271,19379,Anesthesiology
272,19383,Anesthesiology
273,19381,Anesthesiology
274,19382,Anesthesiology
275,19384,Anesthesiology
276,19386,Anesthesiology
277,19385,Anesthesiology
278,19387,Anesthesiology
279,19388,Anesthesiology
280,19389,Anesthesiology
281,19390,Anesthesiology
282,19391,Anesthesiology
283,19392,Anesthesiology
284,19393,Anesthesiology
285,19394,Anesthesiology
286,19395,Anesthesiology
287,19396,Anesthesiology
288,19397,Anesthesiology
289,19398,Anesthesiology
290,19400,Anesthesiology
291,19402,Anesthesiology
292,19403,Anesthesiology
293,19404,Anesthesiology
294,19406,Anesthesiology
295,19407,Anesthesiology
296,19408,Anesthesiology
297,19409,Anesthesiology
298,19413,Anesthesiology
299,19412,Anesthesiology
300,19415,Anesthesiology
301,19414,Anesthesiology
302,19416,Anesthesiology
303,19417,Anesthesiology
304,19418,Anesthesiology
305,19419,Anesthesiology
306,19420,Anesthesiology
307,19422,Anesthesiology
308,19421,Anesthesiology
309,19423,Anesthesiology
310,19424,Anesthesiology
311,19426,Anesthesiology
312,19428,Anesthesiology
313,19425,Anesthesiology
314,19429,Anesthesiology
315,19430,Anesthesiology
316,19431,Anesthesiology
317,19432,Anesthesiology
318,19433,Anesthesiology
319,19434,Anesthesiology
320,19435,Anesthesiology
321,19437,Anesthesiology
322,19438,Anesthesiology
323,19427,Anesthesiology
324,19436,Anesthesiology
325,19439,Anesthesiology
326,19440,Anesthesiology
327,19442,Anesthesiology
328,19441,Anesthesiology
329,19443,Anesthesiology
330,19444,Anesthesiology
331,19446,Anesthesiology
332,19445,Anesthesiology
333,19447,Anesthesiology
334,19448,Anesthesiology
335,19449,Anesthesiology
336,19450,Anesthesiology
337,19451,Anesthesiology
338,19452,Anesthesiology
339,19453,Anesthesiology
340,19454,Anesthesiology
341,19456,Anesthesiology
342,19458,Anesthesiology
343,19461,Anesthesiology
344,19462,Anesthesiology
345,19463,Anesthesiology
346,19460,Anesthesiology
347,19466,Anesthesiology
348,19467,Anesthesiology
349,19468,Anesthesiology
