,doc_id,feed_id,rate
0,1,2304,2
1,1,2305,2
2,1,2306,2
3,1,2368,2
4,1,2373,2
5,1,2375,2
6,1,2376,2
7,1,2377,2
8,1,2378,2
9,1,2458,2
10,1,2459,2
11,1,2460,2
12,1,2462,2
13,1,2486,2
14,1,2487,2
15,1,2488,2
16,1,2489,2
17,1,2490,2
18,1,2491,2
19,1,2492,2
20,1,2493,2
21,1,2494,2
22,1,2495,2
23,1,2496,2
24,1,2497,2
25,1,2498,2
26,1,2527,2
27,1,2528,2
28,1,2529,2
29,1,2530,2
30,1,2531,2
31,1,2532,2
32,1,2533,2
33,1,2534,2
34,1,2535,2
35,1,2536,2
36,1,2537,2
37,1,2538,2
38,1,2539,2
39,1,2540,2
40,1,2541,2
41,1,2902,2
42,1,4018,1
43,1,4157,1
44,1,4193,1
45,1,4198,1
46,1,4247,1
47,1,4286,1
48,1,4294,1
49,1,4325,1
50,1,4326,1
51,1,4341,1
52,1,4358,1
53,1,4379,1
54,1,4381,1
55,1,4415,1
56,1,4419,1
57,1,4435,1
58,1,4436,1
59,1,4452,1
60,1,4470,1
61,1,4473,1
62,1,4480,1
63,1,4482,1
64,1,4548,1
65,1,4566,1
66,1,4582,1
67,1,4601,1
68,1,4603,1
69,1,4671,1
70,1,4698,1
71,1,4754,1
72,1,4811,1
73,1,4843,1
74,1,4883,1
75,1,4906,2
76,1,4914,1
77,1,4916,1
78,1,4917,1
79,1,5008,2
80,1,5089,1
81,1,5092,1
82,1,5112,1
83,1,5134,1
84,1,5156,1
85,1,5157,1
86,1,5208,1
87,1,5229,1
88,1,5232,1
89,1,5272,1
90,1,5336,1
91,1,5337,1
92,1,5353,1
93,1,5359,1
94,1,5376,1
95,1,5382,1
96,1,5416,1
97,1,5435,1
98,1,5436,2
99,1,5439,1
100,1,5440,1
101,1,5487,1
102,1,5503,1
103,1,5723,1
104,1,5776,1
105,1,5791,2
106,1,5814,1
107,1,5815,1
108,1,5901,3
109,1,5902,1
110,1,6045,1
111,1,6046,2
112,1,6075,1
113,1,6078,2
114,1,6116,1
115,1,6117,1
116,1,6206,1
117,1,6306,1
118,1,6333,1
119,1,6404,1
120,1,6405,1
121,1,6668,1
122,1,6847,1
123,1,7036,1
124,1,7129,1
125,1,7379,2
126,1,7442,2
127,1,7473,2
128,1,7484,1
129,1,7621,2
130,1,7625,1
131,1,7670,1
132,1,7721,1
133,1,7722,1
134,1,7801,2
135,1,7808,2
136,1,7907,1
137,1,8015,1
138,1,8154,2
139,1,8467,1
140,1,8691,1
141,1,8736,1
142,1,9073,1
143,1,9404,1
144,1,9566,1
145,1,9568,1
146,1,10220,1
147,1,10247,1
148,1,10481,1
149,3,9782,1
150,3,9860,1
151,3,9904,1
152,4,2002,2
153,4,2016,3
154,4,2021,2
155,4,2025,2
156,4,2184,2
157,4,2233,2
158,4,2235,2
159,4,2236,2
160,4,2237,2
161,4,2238,2
162,4,2239,2
163,4,2240,2
164,4,2304,2
165,4,2307,2
166,4,2366,2
167,4,2367,2
168,4,2368,2
169,4,2369,2
170,4,2370,2
171,4,2371,2
172,4,2372,2
173,4,2373,2
174,4,2374,2
175,4,2375,2
176,4,2376,2
177,4,2377,2
178,4,2378,2
179,4,2379,2
180,4,2380,2
181,4,2449,2
182,4,2450,2
183,4,2451,2
184,4,2452,2
185,4,2453,2
186,4,2454,2
187,4,2455,2
188,4,2456,2
189,4,2457,2
190,4,2458,2
191,4,2459,2
192,4,2460,2
193,4,2461,2
194,4,2462,2
195,4,2463,2
196,4,2532,2
197,4,2533,2
198,4,2534,2
199,4,2535,2
200,4,2536,2
201,4,2537,2
202,4,2538,2
203,4,2653,2
204,4,2654,2
205,4,2655,2
206,4,3104,2
207,4,3105,2
208,4,3106,2
209,4,3474,2
210,4,3723,2
211,4,4159,1
212,4,4198,1
213,4,4199,1
214,4,4206,1
215,4,4207,1
216,4,4209,1
217,4,4210,2
218,4,4211,1
219,4,4262,1
220,4,4282,1
221,4,4285,1
222,4,4292,1
223,4,4294,1
224,4,4326,2
225,4,4340,1
226,4,4343,1
227,4,4349,1
228,4,4350,1
229,4,4382,1
230,4,4400,1
231,4,4419,1
232,4,4435,1
233,4,4452,1
234,4,4470,1
235,4,4471,1
236,4,4473,1
237,4,4482,1
238,4,4531,2
239,4,4548,1
240,4,4563,1
241,4,4566,1
242,4,4582,1
243,4,4597,1
244,4,4603,1
245,4,4672,1
246,4,4690,1
247,4,4691,1
248,4,4715,2
249,4,4791,1
250,4,4809,1
251,4,4811,1
252,4,4826,1
253,4,4829,1
254,4,4848,1
255,4,4867,1
256,4,4876,2
257,4,4880,1
258,4,4884,2
259,4,4914,1
260,4,4915,1
261,4,4916,1
262,4,5021,1
263,4,5023,1
264,4,5040,1
265,4,5092,1
266,4,5114,1
267,4,5132,1
268,4,5137,1
269,4,5139,1
270,4,5190,1
271,4,5191,1
272,4,5192,1
273,4,5208,1
274,4,5209,1
275,4,5228,1
276,4,5233,1
277,4,5234,1
278,4,5250,1
279,4,5297,1
280,4,5317,1
281,4,5335,1
282,4,5337,1
283,4,5353,1
284,4,5400,1
285,4,5416,1
286,4,5419,1
287,4,5436,2
288,4,5437,1
289,4,5439,1
290,4,5440,1
291,4,5442,1
292,4,5458,1
293,4,5471,1
294,4,5478,2
295,4,5479,1
296,4,5483,1
297,4,5487,1
298,4,5503,1
299,4,5540,1
300,4,5548,1
301,4,5565,1
302,4,5602,1
303,4,5646,1
304,4,5683,1
305,4,5708,1
306,4,5728,1
307,4,5749,1
308,4,5751,1
309,4,5764,1
310,4,5774,1
311,4,5776,1
312,4,5779,1
313,4,5791,1
314,4,5814,1
315,4,5838,1
316,4,5852,1
317,4,5862,1
318,4,5863,1
319,4,5893,1
320,4,5903,1
321,4,5904,1
322,4,5912,1
323,4,5946,1
324,4,5947,1
325,4,5970,1
326,4,5984,1
